step,day,k,p_load_fc_646_kw,p_pv_fc_646_kw,p_load_646_kw,p_pv_646_kw,baseline_grid_646_kw,battery_646_kw,battery_action,grid_646_kw,grid_646_forecast_kw,soc_predicted_pct,soc_measured_pct,feeder_baseline_grid_kw,feeder_grid_with_cil_kw,mpc_status
136,3,40,68.494,0.016,68.494,0.016,68.478,62.5104,Discharge,5.9676,5.9676,12.7758,12.58,912.022,849.5116,optimal
137,3,41,70.138,0.06,70.138,0.06,70.078,39.1689,Discharge,30.9091,30.9091,10.66,9.61,952.314,913.1451,optimal
138,3,42,71.396,0.048,71.396,0.048,71.348,40.3242,Discharge,31.0238,31.0238,7.6333,7.69,956.63,916.3058,optimal
139,3,43,72.798,0.036,72.798,0.036,72.762,41.6454,Discharge,31.1166,31.1166,5.6486,5.72,930.162,888.5166,optimal
140,3,44,66.064,0.012,66.064,0.012,66.052,34.9065,Discharge,31.1455,31.1455,4.0089,3.69,862.448,827.5415,optimal
141,3,45,68.444,0.012,68.444,0.012,68.432,5.8465,Discharge,62.5855,62.5855,3.4034,2.12,869.28,863.4335,optimal
142,3,46,63.194,0.0,63.194,0.0,63.194,0.6074,Discharge,62.5866,62.5866,2.0902,1.85,839.112,838.5046,optimal
143,3,47,57.438,0.012,57.438,0.012,57.426,-5.1601,Charge,62.5861,62.5861,2.1029,1.83,763.076,768.2361,optimal
144,3,48,50.374,0.0,50.374,0.0,50.374,-12.3173,Charge,62.6913,62.6913,2.4338,2.11,706.88,719.1973,optimal
145,4,1,42.642,0.012,42.642,0.012,42.63,-20.1439,Charge,62.7739,62.7739,3.0974,2.74,655.95,676.0939,optimal
146,4,2,42.104,0.0,42.104,0.0,42.104,-20.6931,Charge,62.7971,62.7971,3.7544,3.72,616.928,637.6211,optimal
147,4,3,38.33,0.024,38.33,0.024,38.306,-24.5276,Charge,62.8336,62.8336,4.9223,4.77,542.806,567.3336,optimal
148,4,4,37.88,0.014,37.88,0.014,37.866,-25.0019,Charge,62.8679,62.8679,5.9956,6.0,523.816,548.8179,optimal
149,4,5,39.796,0.012,39.796,0.012,39.784,-23.0532,Charge,62.8372,62.8372,7.1301,7.21,533.86,556.9132,optimal
150,4,6,33.048,0.012,33.048,0.012,33.036,-29.5861,Charge,62.6221,62.6221,8.6603,8.38,491.186,520.7721,optimal
151,4,7,33.718,0.024,33.718,0.024,33.694,-28.9486,Charge,62.6426,62.6426,9.7991,9.84,496.004,524.9526,optimal
152,4,8,33.322,0.012,33.322,0.012,33.31,-29.4322,Charge,62.7422,62.7422,11.2828,11.26,476.358,505.7902,optimal
153,4,9,31.474,0.012,31.474,0.012,31.462,-31.3276,Charge,62.7896,62.7896,12.7957,12.7,477.988,509.3156,optimal
154,4,10,31.138,0.024,31.138,0.024,31.114,-31.7083,Charge,62.8223,62.8223,14.2543,14.22,452.886,484.5943,optimal
155,4,11,38.556,0.012,38.556,0.012,38.544,-24.3902,Charge,62.9342,62.9342,15.4156,15.75,505.694,530.0842,optimal
156,4,12,43.568,0.012,43.568,0.012,43.556,-19.4013,Charge,62.9573,62.9573,16.701,16.9,527.694,547.0953,optimal
157,4,13,48.98,0.052,48.98,0.052,48.928,-13.9599,Charge,62.8879,62.8879,17.5843,17.81,588.39,602.3499,optimal
158,4,14,47.452,0.85,47.452,0.85,46.602,-16.0764,Charge,62.6784,62.6784,18.5981,18.5,605.654,621.7304,optimal
159,4,15,49.302,3.768,49.302,3.768,45.534,14.3669,Discharge,31.1671,31.1671,17.7957,19.14,617.76,603.3931,optimal
160,4,16,46.69,8.37,46.69,8.37,38.32,7.328,Discharge,30.992,30.992,18.7808,18.49,539.178,531.85,optimal
161,4,17,48.828,14.678,48.828,14.678,34.15,3.3317,Discharge,30.8183,30.8183,18.3267,18.17,473.132,469.8003,optimal
162,4,18,53.878,20.52,53.878,20.52,33.358,2.8863,Discharge,30.4717,30.4717,18.0285,18.02,433.32,430.4337,optimal
163,4,19,58.102,22.514,58.102,22.514,35.588,5.544,Discharge,30.044,30.044,17.7482,17.86,433.04,427.496,optimal
164,4,20,52.474,27.892,52.474,27.892,24.582,-4.8141,Charge,29.3961,29.3961,18.096,17.62,333.816,338.6301,optimal
165,4,21,49.95,36.368,49.95,36.368,13.582,-15.9427,Charge,29.5247,29.5247,18.4015,17.92,198.798,214.7407,optimal
166,4,22,55.142,37.402,55.142,37.402,17.74,-12.291,Charge,30.031,30.031,18.5225,18.68,234.24,246.531,optimal
167,4,23,48.73,41.642,48.73,41.642,7.088,-22.7684,Charge,29.8564,29.8564,19.7961,19.32,165.496,188.2644,optimal
168,4,24,56.0,44.924,56.0,44.924,11.076,-19.3832,Charge,30.4592,30.4592,20.2702,20.43,133.83,153.2132,optimal
169,4,25,54.482,51.084,54.482,51.084,3.398,-26.8348,Charge,30.2328,30.2328,21.7454,21.4,27.446,54.2808,optimal
170,4,26,54.618,48.89,54.618,48.89,5.728,-25.0307,Charge,30.7587,30.7587,22.627,22.72,61.666,86.6967,optimal
171,4,27,54.212,45.324,54.212,45.324,8.888,-21.7176,Charge,30.6056,30.6056,23.7846,23.93,110.432,132.1496,optimal
172,4,28,56.946,44.232,56.946,44.232,12.714,-17.6314,Charge,30.3454,30.3454,24.7943,24.99,127.956,145.5874,optimal
173,4,29,53.42,46.998,53.42,46.998,6.422,0.6262,Discharge,5.7958,5.7958,24.9593,25.77,49.752,49.1258,optimal
