step,date_label,profile_time,v_632_A_rms_V,v_632_B_rms_V,v_632_C_rms_V,v_633_A_rms_V,v_633_B_rms_V,v_633_C_rms_V,v_634_A_rms_V,v_634_B_rms_V,v_634_C_rms_V,v_645_B_rms_V,v_645_C_rms_V,v_646_B_rms_V,v_646_C_rms_V,v_652_A_rms_V,v_671_A_rms_V,v_671_B_rms_V,v_671_C_rms_V,v_675_A_rms_V,v_675_B_rms_V,v_675_C_rms_V,v_680_A_rms_V,v_680_B_rms_V,v_680_C_rms_V,v_684_A_rms_V,v_684_C_rms_V,v_692_A_rms_V,v_692_B_rms_V,v_692_C_rms_V,v_611_C_rms_V
21,7-Jan-13,10:30,2460.8935546875,2460.8935546875,2460.8935546875,2461.238525390625,2460.9814453125,2461.177734375,284.2174987792969,284.0672607421875,284.2345886230469,2462.2294921875,2461.140380859375,2462.427490234375,2461.35302734375,2483.289306640625,2482.774658203125,2460.1513671875,2461.029541015625,2485.0732421875,2461.318603515625,2461.418701171875,2482.774658203125,2460.1513671875,2461.029052734375,2482.89306640625,2461.37109375,2482.774658203125,2460.1513671875,2461.029052734375,2461.7294921875
22,7-Jan-13,11:00,2460.8935546875,2460.8935546875,2460.8935546875,2461.531982421875,2460.988525390625,2461.247314453125,284.44293212890625,284.0989685058594,284.3097839355469,2463.080078125,2461.298095703125,2463.40380859375,2461.6162109375,2502.877197265625,2502.04296875,2461.064453125,2465.716064453125,2503.78515625,2460.7470703125,2466.165771484375,2502.04296875,2461.064453125,2465.716064453125,2502.231201171875,2466.322998046875,2502.04296875,2461.064453125,2465.716064453125,2466.95556640625
23,7-Jan-13,11:30,2460.8935546875,2460.8935546875,2460.8935546875,2461.66748046875,2461.127197265625,2461.379638671875,284.71807861328125,284.22320556640625,284.430419921875,2463.462890625,2461.5390625,2463.93994140625,2462.011474609375,2519.01171875,2517.2255859375,2462.7998046875,2471.266845703125,2519.367919921875,2462.388427734375,2472.18896484375,2517.2255859375,2462.7998046875,2471.266845703125,2517.6875,2471.99658203125,2517.247314453125,2462.7998046875,2471.266845703125,2472.7744140625
24,7-Jan-13,12:00,2460.8935546875,2460.8935546875,2460.8935546875,2463.015380859375,2461.127685546875,2461.366943359375,284.5765686035156,284.22381591796875,284.42218017578125,2463.495361328125,2461.610107421875,2464.013916015625,2462.109375,2520.02978515625,2518.142333984375,2462.683349609375,2470.3857421875,2520.3017578125,2462.286865234375,2471.237060546875,2518.142333984375,2462.683349609375,2470.3857421875,2518.605224609375,2471.049560546875,2518.13525390625,2462.683349609375,2470.3857421875,2471.76318359375
25,7-Jan-13,12:30,2460.8935546875,2460.8935546875,2460.8935546875,2461.71435546875,2461.176513671875,2461.41015625,284.6053771972656,284.26593017578125,284.46075439453125,2463.502197265625,2461.739990234375,2464.09423828125,2462.320068359375,2522.99267578125,2520.82568359375,2462.801513671875,2471.138916015625,2522.953857421875,2462.34912109375,2472.165283203125,2520.82568359375,2462.801513671875,2471.135009765625,2521.375,2471.75634765625,2519.46484375,2462.801513671875,2471.135009765625,2472.433837890625
26,7-Jan-13,13:00,2460.8935546875,2460.8935546875,2460.8935546875,2461.805908203125,2461.103271484375,2461.48876953125,284.67431640625,284.2233581542969,284.52154541015625,2463.64892578125,2461.755859375,2464.2568359375,2462.34716796875,2525.04443359375,2522.67333984375,2463.0439453125,2471.241455078125,2524.90673828125,2462.61572265625,2472.2333984375,2522.67333984375,2463.0439453125,2471.241455078125,2524.642578125,2471.839111328125,2524.037109375,2463.0439453125,2471.241455078125,2473.83349609375
27,7-Jan-13,13:30,2460.8935546875,2460.8935546875,2460.8935546875,2461.890625,2462.460205078125,2461.554931640625,284.7445068359375,284.2548828125,284.5799560546875,2464.01513671875,2461.78662109375,2464.65625,2462.41259765625,2529.240966796875,2526.852783203125,2463.607177734375,2472.879638671875,2529.19482421875,2463.17529296875,2472.57080078125,2526.853271484375,2463.607177734375,2472.879638671875,2527.465087890625,2473.415283203125,2526.853271484375,2463.60693359375,2472.879638671875,2472.675537109375
28,7-Jan-13,14:00,2460.8935546875,2460.8935546875,2460.8935546875,2461.720947265625,2461.248046875,2462.961669921875,284.6318664550781,284.3368835449219,284.63385009765625,2463.7763671875,2463.14453125,2465.754150390625,2463.782470703125,2531.6708984375,2528.7138671875,2464.356201171875,2474.86572265625,2531.059326171875,2463.9130859375,2476.204345703125,2528.7138671875,2464.356201171875,2474.86572265625,2529.46923828125,2475.61083984375,2528.714111328125,2464.356201171875,2474.86572265625,2476.4306640625
29,7-Jan-13,14:30,2460.8935546875,2460.8935546875,2460.8935546875,2461.502685546875,2461.329345703125,2461.54638671875,284.4681701660156,284.3760070800781,284.5590515136719,2462.79052734375,2463.173828125,2463.409912109375,2463.78857421875,2514.946044921875,2512.49169921875,2465.19873046875,2472.267578125,2514.18310546875,2464.988037109375,2473.586669921875,2512.48876953125,2465.19873046875,2472.267578125,2513.104736328125,2473.01904296875,2512.48876953125,2465.200927734375,2472.267578125,2473.832275390625
30,7-Jan-13,15:00,2460.8935546875,2460.8935546875,2460.8935546875,2461.437255859375,2461.2939453125,2461.376953125,284.4040832519531,284.3318786621094,284.42327880859375,2462.517822265625,2461.761962890625,2463.078857421875,2462.31640625,2503.636474609375,2501.736328125,2466.416015625,2468.386962890625,2503.0810546875,2466.39892578125,2469.43701171875,2501.736328125,2466.416015625,2468.386962890625,2502.211669921875,2469.031005859375,2501.736328125,2465.083984375,2468.386962890625,2469.723876953125
