step,date_label,profile_time,p_634_A_W,p_634_B_W,p_634_C_W,p_645_B_W,p_646_B_W,p_652_A_W,p_671_A_W,p_671_B_W,p_671_C_W,p_675_A_W,p_675_B_W,p_675_C_W,p_692_C_W,p_611_C_W
83,8-Jan-13,17:30,122875.5546875,103013.34375,82726.484375,116038.4921875,181317.078125,101163.7578125,290002.875,271650.40625,286304.84375,340540.53125,58471.11328125,216611.515625,138347.234375,107892.6484375
84,8-Jan-13,18:00,132201.875,111855.7578125,99151.046875,133080.140625,203139.359375,110048.296875,325677.5625,326026.25,323121.21875,394028.59375,63639.6796875,248331.046875,152013.84375,131859.1875
85,8-Jan-13,18:30,147024.046875,111393.0390625,109481.5078125,156203.09375,212311.546875,117702.65625,355674.75,361998.8125,356139.5625,449136.34375,63761.63671875,268961.03125,167458.109375,153533.828125
86,8-Jan-13,19:00,148009.390625,106026.859375,110586.2734375,158062.90625,214058.703125,124046.0,350052.40625,380732.15625,358220.9375,470130.59375,64013.625,273358.1875,175507.890625,164101.390625
87,8-Jan-13,19:30,160009.03125,113231.203125,121288.890625,154397.59375,230186.8125,129849.515625,376136.9375,385754.71875,378206.8125,474327.875,77800.3828125,292264.25,168980.390625,165447.34375
88,8-Jan-13,20:00,163114.09375,127321.53125,119820.546875,152429.484375,247889.75,118969.0703125,394497.21875,379957.3125,397403.03125,466836.71875,87447.0390625,297245.9375,159255.703125,164577.171875
89,8-Jan-13,20:30,163778.109375,119312.78125,113088.7578125,154956.75,246058.515625,112739.8671875,394092.375,377484.71875,395453.90625,470759.3125,88693.4921875,291364.4375,157593.828125,166894.984375
90,8-Jan-13,21:00,166269.015625,111337.0859375,107885.2578125,153452.3125,238014.171875,114746.234375,377224.3125,378277.03125,377936.59375,472418.6875,89017.5625,276151.9375,163747.0,166290.78125
91,8-Jan-13,21:30,162067.328125,108439.8359375,94293.703125,133795.953125,232715.765625,104040.2109375,362338.65625,337334.6875,359570.21875,441396.5625,87310.234375,250126.78125,148133.328125,158471.953125
92,8-Jan-13,22:00,159965.5,93202.2421875,85432.046875,131042.859375,214790.328125,111577.7109375,340591.375,333374.9375,342801.65625,442368.09375,75181.359375,248281.890625,134325.59375,149132.03125
93,8-Jan-13,22:30,141403.734375,79814.625,74231.09375,113981.2578125,198376.53125,89953.59375,294828.46875,282233.21875,304327.5625,389946.28125,59155.61328125,208268.71875,121576.1953125,130607.875
94,8-Jan-13,23:00,128246.2109375,72635.375,66841.28125,109344.671875,178449.9375,76011.75,266684.09375,249653.640625,275219.09375,348036.125,52681.94140625,179451.765625,111730.0703125,112816.3359375
95,8-Jan-13,23:30,94507.984375,68042.078125,63497.015625,98962.7734375,149735.0625,57201.203125,228687.796875,201337.75,237890.78125,273013.21875,46716.5703125,157791.078125,86277.6796875,85305.625
96,9-Jan-13,0:00,96668.359375,55757.26953125,56276.58984375,94029.828125,129921.8828125,53802.421875,208739.046875,186234.4375,216206.953125,260886.53125,36695.4453125,142743.96875,81870.078125,83412.875
97,9-Jan-13,0:30,85643.4453125,42371.3671875,47867.515625,85802.78125,102955.140625,54492.703125,173562.859375,177129.1875,184473.453125,242169.5625,27778.66015625,126260.7265625,77361.0703125,78191.234375
98,9-Jan-13,1:00,86940.75,37658.6875,44671.6484375,84592.078125,97456.90625,57781.7265625,168962.640625,172005.484375,180202.734375,240440.796875,25197.8203125,123193.71875,66374.3359375,70318.6796875
99,9-Jan-13,1:30,81958.765625,35651.375,38681.37890625,73845.7265625,91597.4921875,51496.125,156122.671875,159556.90625,163144.203125,222073.65625,25744.021484375,109107.21875,66998.515625,69802.5390625
100,9-Jan-13,2:00,72225.5390625,33138.98828125,32989.921875,70103.6015625,80869.78125,47663.109375,140348.765625,150333.109375,148308.703125,205127.1875,24773.720703125,101880.8359375,60735.1328125,64736.87109375
101,9-Jan-13,2:30,70005.75,28441.314453125,34831.48828125,72596.71875,72713.0859375,54876.78515625,134105.5625,158874.71875,143878.375,209093.8125,22521.03125,108679.1015625,57196.18359375,64084.703125
102,9-Jan-13,3:00,64794.8984375,36512.73828125,39642.4375,65840.7578125,83723.0,53196.40234375,140448.484375,147064.421875,147618.234375,192971.734375,24535.62890625,112386.3046875,52414.97265625,56672.31640625
103,9-Jan-13,3:30,61271.2890625,32592.52734375,38708.62109375,58511.94921875,78651.5625,49661.8828125,133065.359375,136876.796875,136037.21875,181194.046875,22757.10546875,106248.15625,51299.3203125,55965.98046875
104,9-Jan-13,4:00,61292.95703125,30029.662109375,37914.04296875,58882.0703125,75410.1015625,41258.15625,129530.390625,121835.4140625,132596.40625,166963.03125,18395.748046875,98357.5703125,46239.2734375,49447.8515625
105,9-Jan-13,4:30,58210.78515625,27070.294921875,33287.04296875,58967.5625,64532.515625,40817.95703125,119137.890625,125364.796875,121165.640625,164328.03125,20604.435546875,90363.5390625,47641.66015625,50803.7578125
106,9-Jan-13,5:00,59040.42578125,25187.142578125,29997.546875,58719.14453125,58808.09375,37273.265625,114862.875,121313.328125,116696.5546875,162783.71875,20328.34765625,85077.53125,45039.02734375,53056.0078125
107,9-Jan-13,5:30,56540.203125,24774.10546875,28280.896484375,53787.17578125,58538.83984375,35626.78125,109823.1796875,112690.1484375,111991.0546875,152897.09375,20270.322265625,80591.9921875,41384.0078125,49553.98046875
108,9-Jan-13,6:00,51026.74609375,23243.1875,25521.138671875,50269.45703125,54527.40234375,28181.1953125,101447.0625,101052.0546875,104819.5,139191.265625,19340.046875,69962.59375,40819.93359375,46999.1796875
109,9-Jan-13,6:30,47498.890625,21069.015625,22645.412109375,46342.46875,50538.75390625,23748.6484375,93767.8359375,89501.9296875,96565.46875,128371.125,16217.06640625,62512.19921875,37831.19921875,44482.375
110,9-Jan-13,7:00,51627.859375,20376.66796875,25279.064453125,41208.765625,59915.2578125,23336.818359375,99215.7109375,85716.5390625,101459.078125,128365.3125,14517.3076171875,62556.12109375,38137.4296875,41759.44140625
111,9-Jan-13,7:30,41042.796875,18642.712890625,20600.626953125,34653.0234375,46907.15234375,22882.279296875,80428.4609375,82223.6015625,82359.8984375,112815.03125,13431.9306640625,56232.11328125,42698.3203125,40981.19921875
112,9-Jan-13,8:00,29002.171875,15406.603515625,18203.513671875,26564.3828125,31085.13671875,22928.55078125,60479.76171875,56738.25390625,59029.1015625,75679.015625,10929.0029296875,47905.46875,34380.4140625,23543.6015625
113,9-Jan-13,8:30,27488.4921875,11912.5419921875,13507.0400390625,24669.5859375,23894.470703125,18249.60546875,53308.453125,45594.27734375,51670.12890625,65356.9140625,11475.935546875,37083.9609375,34856.5,20036.462890625
114,9-Jan-13,9:00,25491.015625,8906.048828125,8401.1220703125,18981.560546875,22308.0,17531.462890625,44446.3671875,30610.927734375,45484.33203125,51430.16015625,9016.8193359375,29445.5,34996.52734375,11873.8310546875
115,9-Jan-13,9:30,19235.458984375,4927.66650390625,1225.220703125,15272.033203125,13090.705078125,7505.4814453125,29730.927734375,13468.806640625,32589.927734375,31490.21484375,7940.484375,15110.876953125,31683.7109375,6228.01025390625
116,9-Jan-13,10:00,11018.50390625,-1709.617919921875,-598.3530883789062,6506.01318359375,2054.738525390625,3872.76708984375,13591.9091796875,-1872.668701171875,12433.0244140625,11286.2353515625,1432.448486328125,6073.9619140625,32141.82421875,748.24169921875
117,9-Jan-13,10:30,11281.7080078125,-1493.8819580078125,-142.06277465820312,5197.64990234375,1750.6285400390625,-56.01106643676758,12642.9384765625,-13892.9609375,15911.8701171875,-2758.545166015625,1218.3812255859375,84.02715301513672,28058.826171875,-8814.8486328125
118,9-Jan-13,11:00,2838.738037109375,-6345.21337890625,-4449.94189453125,1530.077880859375,-12032.2138671875,-2686.531005859375,-5017.16552734375,-21312.591796875,646.1571655273438,-16021.166015625,-3034.94970703125,-9515.0810546875,29701.228515625,-11287.65625
119,9-Jan-13,11:30,-1817.2423095703125,-7846.130859375,-9653.927734375,-2430.945556640625,-17388.275390625,-1990.3868408203125,-16649.916015625,-23981.369140625,-12101.541015625,-23454.55859375,-4377.36962890625,-13334.3115234375,29979.287109375,-16281.2646484375
120,9-Jan-13,12:00,-2589.039794921875,-6872.64013671875,-13592.3896484375,3775.203857421875,-21427.40625,-4116.814453125,-16489.841796875,-24912.890625,-13559.2822265625,-18845.728515625,-9476.9716796875,-12657.3974609375,31581.646484375,-15337.6923828125
121,9-Jan-13,12:30,-5833.40576171875,-11228.8095703125,-14141.0498046875,2968.92333984375,-28988.2421875,-5731.13330078125,-24947.80859375,-27289.744140625,-21029.09375,-23342.615234375,-9214.888671875,-19096.16015625,35056.49609375,-13816.45703125
122,9-Jan-13,13:00,-11236.3837890625,-8606.181640625,-20533.38671875,266.08251953125,-30219.234375,-12396.4638671875,-32423.580078125,-42847.30078125,-27748.71875,-40432.03515625,-5975.875,-34078.98828125,34356.3203125,-20850.7265625
123,9-Jan-13,13:30,-15724.4013671875,-10093.7265625,-21483.517578125,-13488.103515625,-29286.1953125,-12952.5615234375,-40209.34375,-49865.80078125,-35568.60546875,-53668.61328125,-5473.71533203125,-32742.568359375,30775.451171875,-19918.427734375
