Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
327.75,40291.9921875,43021.9921875,26180.2421875,30190.0546875,36855.30078125,65826.1953125,26212.560546875,37610.53125
328.0,40291.9765625,43022.015625,26180.234375,30189.78515625,36855.1015625,65824.6484375,26212.732421875,37610.27734375
328.25,40292.4140625,43022.01953125,26180.244140625,30189.9609375,36854.765625,65819.75,26212.59375,37610.92578125
328.5,40273.36328125,43022.0078125,26180.265625,30190.1796875,36857.19921875,65828.9375,26211.55078125,37601.8125
328.75,41292.328125,44010.7265625,27178.041015625,30190.4140625,39862.36328125,61823.17578125,26211.7734375,39611.98828125
329.0,41293.01953125,44010.671875,27177.921875,30190.15234375,39858.43359375,61818.3828125,26210.853515625,39611.71484375
329.25,41292.9921875,44010.65234375,27177.900390625,30190.177734375,39859.58984375,61823.421875,26213.365234375,39613.4921875
329.5,41293.2265625,44010.7109375,27177.919921875,30190.240234375,39857.015625,61818.4921875,26213.51171875,39613.14453125
329.75,41293.12890625,44010.7109375,27177.86328125,30189.99609375,39860.265625,61817.96484375,26212.4609375,39613.02734375
330.0,41293.3125,44010.71875,27177.9765625,30190.32421875,39855.93359375,61817.40234375,26212.54296875,39613.171875
330.25,41293.21875,44010.69921875,27177.888671875,30190.0234375,39857.8125,61798.23046875,26212.572265625,39613.1015625
330.5,41294.06640625,44010.67578125,27177.912109375,30190.162109375,39857.08984375,61811.21484375,26212.615234375,39613.55859375
330.75,21308.08203125,20013.365234375,13175.6904296875,13178.7431640625,20841.767578125,27783.556640625,13228.845703125,19456.533203125
331.0,21264.939453125,20014.701171875,13173.7294921875,13176.69921875,20832.41796875,27776.98046875,13195.212890625,19581.046875
331.25,21265.06640625,20014.728515625,13173.71484375,13177.4580078125,20836.943359375,27774.080078125,13194.3798828125,19587.943359375
331.5,21265.03515625,20014.7421875,13173.689453125,13176.8876953125,20826.048828125,27773.99609375,13195.154296875,19587.841796875
