Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
385.0,122027.6328125,30009.3515625,113040.2578125,125995.21875,146026.53125,86027.8046875
385.25,121963.9296875,30009.43359375,113040.4140625,126030.8046875,146029.265625,86027.7890625
385.5,122028.5390625,30009.349609375,113040.3046875,126030.796875,146028.625,86027.765625
385.75,122028.578125,30009.3671875,113040.3828125,126030.9375,146028.671875,86009.765625
386.0,122028.5703125,30009.373046875,113040.390625,126030.9296875,146028.65625,85999.578125
386.25,122028.6015625,30009.375,113040.3046875,126030.796875,146028.8125,86027.65625
386.5,122028.6171875,30009.380859375,113040.3359375,126030.828125,146028.75,86027.734375
386.75,118969.21875,28954.697265625,114793.1953125,124949.3515625,152029.078125,79889.5859375
387.0,119026.265625,29002.611328125,115024.46875,124998.078125,152027.71875,80025.8984375
387.25,118964.65625,29009.10546875,115041.03125,125030.28125,152030.0,80025.75
387.5,119027.78125,29009.03515625,115041.015625,125030.4453125,152029.640625,80025.8203125
387.75,119027.8671875,29009.056640625,115041.0625,125030.625,152029.90625,80025.828125
388.0,119027.875,29009.05859375,115041.09375,125030.6875,152029.8125,79999.609375
388.25,119027.9140625,29009.0625,115040.96875,125030.4765625,152030.140625,80025.546875
388.5,119027.90625,29009.06640625,115041.0546875,125030.59375,152029.921875,80025.8046875
388.75,123028.7734375,34010.62890625,111039.5390625,129031.5859375,143028.234375,82026.4375
389.0,122968.3515625,33957.69140625,110756.421875,128948.0390625,143027.875,81886.9609375
389.25,123027.828125,34003.0546875,111039.53125,128995.0625,143025.828125,82026.4921875
389.5,122963.46875,34010.671875,111039.65625,129031.359375,143028.265625,82026.4609375
389.75,123028.1875,34010.57421875,111039.5703125,129031.484375,143027.40625,82026.4609375
390.0,123028.8203125,34010.6171875,111039.671875,129031.6796875,143028.109375,81999.5625
390.25,123028.8046875,34010.62109375,111039.671875,129031.6640625,143028.0625,81999.5859375
390.5,123028.8359375,34010.62109375,111039.6015625,129031.5390625,143028.21875,82026.3828125
390.75,121028.359375,33010.31640625,115041.1171875,125030.609375,143028.1875,83026.8046875
391.0,121028.3828125,33010.31640625,115041.0546875,125030.578125,143028.15625,83026.765625
391.25,121028.3828125,33010.3203125,115041.0625,125030.578125,143028.140625,83026.765625
391.5,121027.421875,33002.96484375,115024.4296875,124995.2109375,143025.84375,83026.828125
391.75,121027.359375,33010.28125,115041.015625,125030.3828125,143027.6875,83026.765625
392.0,121028.296875,33010.28515625,115041.03125,125030.546875,143028.046875,83026.796875
392.25,121028.296875,33010.28515625,115041.015625,125030.5625,143028.078125,83026.8046875
392.5,121028.3359375,33010.30859375,115041.1015625,125030.6875,143028.0625,82999.5625
392.75,111025.96875,26008.119140625,103036.59375,114028.078125,134026.59375,77024.7421875
393.0,111026.015625,26008.12890625,103036.7734375,114027.8828125,134026.390625,77024.8359375
