Time,Node 646.V2_rms,Node 646.V3_rms,Node 652.V1_rms,Node 671.V1_rms,Node 671.V2_rms,Node 671.V3_rms,Node 675.V1_rms,Node 675.V2_rms,Node 675.V3_rms,UpperBound,LowerBound
281.25,2461.34521484375,2461.21240234375,2474.9580078125,2474.876220703125,2457.507568359375,2458.8203125,2475.30517578125,2457.380615234375,2459.033203125,2522.0,2282.0
281.5,2461.34375,2461.238525390625,2474.972900390625,2474.876220703125,2457.5078125,2458.820068359375,2475.30517578125,2457.380615234375,2459.032958984375,2522.0,2282.0
281.75,2458.75341796875,2459.8720703125,2401.217529296875,2403.23828125,2452.89794921875,2436.349609375,2401.243896484375,2453.276611328125,2435.613037109375,2522.0,2282.0
282.0,2458.752685546875,2459.890869140625,2401.216796875,2403.240234375,2452.90380859375,2436.346435546875,2401.24560546875,2453.283447265625,2435.609375,2522.0,2282.0
282.25,2458.752685546875,2459.882080078125,2401.209228515625,2403.240478515625,2452.90380859375,2436.34765625,2401.245849609375,2453.283447265625,2435.610595703125,2522.0,2282.0
282.5,2458.752685546875,2459.869873046875,2401.199951171875,2403.239013671875,2452.904052734375,2436.346435546875,2401.244140625,2453.283447265625,2435.609375,2522.0,2282.0
282.75,2458.75341796875,2459.881591796875,2401.216064453125,2403.2421875,2452.905029296875,2436.3466796875,2401.24755859375,2453.28466796875,2436.925537109375,2522.0,2282.0
283.0,2458.752685546875,2459.875244140625,2401.211181640625,2403.237548828125,2452.904052734375,2437.6630859375,2401.24267578125,2453.283447265625,2436.925537109375,2522.0,2282.0
283.25,2458.752685546875,2459.877197265625,2401.204833984375,2403.23681640625,2452.904296875,2436.351806640625,2401.241943359375,2453.28369140625,2435.615234375,2522.0,2282.0
283.5,2458.752685546875,2461.201171875,2401.22509765625,2403.237548828125,2452.90380859375,2436.3466796875,2401.24267578125,2453.283447265625,2435.609619140625,2522.0,2282.0
283.75,2458.85546875,2459.864501953125,2401.42626953125,2403.5693359375,2452.5615234375,2436.10205078125,2401.66552734375,2452.960693359375,2435.197998046875,2522.0,2282.0
284.0,2458.85546875,2459.863037109375,2401.445068359375,2403.589599609375,2453.884521484375,2436.10302734375,2401.68701171875,2452.95849609375,2435.19873046875,2522.0,2282.0
284.25,2458.85546875,2459.869384765625,2401.4228515625,2403.56982421875,2452.5615234375,2436.102294921875,2401.666015625,2452.960693359375,2435.197998046875,2522.0,2282.0
284.5,2458.85546875,2459.85107421875,2401.425048828125,2403.573486328125,2452.562255859375,2436.10302734375,2401.66943359375,2452.961669921875,2435.198974609375,2522.0,2282.0
284.75,2458.85546875,2459.861572265625,2401.421875,2403.5703125,2452.561279296875,2436.1025390625,2401.66650390625,2452.960693359375,2435.198486328125,2522.0,2282.0
285.0,2458.85595703125,2459.8759765625,2401.4130859375,2403.569091796875,2452.5625,2436.102294921875,2401.665283203125,2452.9619140625,2435.197998046875,2522.0,2282.0
285.25,2458.85546875,2459.85400390625,2401.43798828125,2403.57421875,2452.56298828125,2437.418701171875,2401.67041015625,2452.962158203125,2435.197998046875,2522.0,2282.0
