Time,Node 680.V1_rms,Node 680.V2_rms,Node 680.V3_rms,Node 684.V1_rms,Node 684.V3_rms,Node 692.V1_rms,Node 692.V2_rms,Node 692.V3_rms,UpperBound,LowerBound
415.25,2344.845947265625,2446.52001953125,2421.406005859375,2343.98388671875,2420.13671875,2344.845947265625,2446.52001953125,2421.406005859375,2522.0,2282.0
415.5,2344.85205078125,2446.52001953125,2421.40576171875,2343.989990234375,2420.136474609375,2344.85205078125,2446.52001953125,2421.40576171875,2522.0,2282.0
415.75,2344.852783203125,2446.519775390625,2421.408203125,2343.99072265625,2420.13916015625,2344.852783203125,2446.519775390625,2421.408203125,2522.0,2282.0
416.0,2344.847900390625,2446.516845703125,2421.40576171875,2343.98583984375,2420.13671875,2344.847900390625,2446.516845703125,2421.40576171875,2522.0,2282.0
416.25,2344.84619140625,2446.52001953125,2421.40576171875,2343.984130859375,2420.13671875,2344.84619140625,2446.52001953125,2421.40576171875,2522.0,2282.0
416.5,2344.845947265625,2446.52001953125,2421.40576171875,2343.98388671875,2420.136474609375,2344.845947265625,2446.52001953125,2421.40576171875,2522.0,2282.0
416.75,2342.8310546875,2447.33154296875,2420.757080078125,2341.94091796875,2420.735107421875,2342.8310546875,2447.33154296875,2420.757080078125,2522.0,2282.0
417.0,2342.8193359375,2447.329833984375,2420.7666015625,2341.928955078125,2419.437744140625,2342.8193359375,2447.329833984375,2420.7666015625,2522.0,2282.0
417.25,2342.819580078125,2447.329345703125,2420.75732421875,2341.92919921875,2419.427734375,2342.819580078125,2447.329345703125,2420.75732421875,2522.0,2282.0
417.5,2344.086669921875,2448.65185546875,2420.757080078125,2341.93017578125,2419.427490234375,2344.086669921875,2448.65185546875,2420.757080078125,2522.0,2282.0
417.75,2342.826416015625,2447.328857421875,2420.7568359375,2341.936279296875,2419.427490234375,2342.826416015625,2447.328857421875,2420.7568359375,2522.0,2282.0
418.0,2342.825927734375,2447.33056640625,2420.760009765625,2341.935546875,2419.430419921875,2342.825927734375,2447.33056640625,2420.760009765625,2522.0,2282.0
418.25,2342.825439453125,2447.327392578125,2420.757568359375,2341.935302734375,2419.427978515625,2342.825439453125,2447.327392578125,2420.757568359375,2522.0,2282.0
418.5,2342.8203125,2447.329345703125,2420.757080078125,2341.93017578125,2419.427490234375,2342.8203125,2447.329345703125,2420.757080078125,2522.0,2282.0
418.75,2343.584716796875,2447.27001953125,2420.21875,2342.632568359375,2418.862548828125,2343.584716796875,2447.27001953125,2420.21875,2522.0,2282.0
419.0,2343.58447265625,2447.26806640625,2420.224853515625,2342.63232421875,2418.868896484375,2343.58447265625,2447.26806640625,2420.224853515625,2522.0,2282.0
419.25,2343.582763671875,2447.267822265625,2420.224853515625,2342.630615234375,2418.868896484375,2343.582763671875,2447.267822265625,2420.224853515625,2522.0,2282.0
419.5,2343.584716796875,2447.267578125,2420.218994140625,2342.632568359375,2418.86279296875,2343.584716796875,2447.267578125,2420.218994140625,2522.0,2282.0
419.75,2343.584716796875,2448.590087890625,2420.21875,2342.6328125,2418.862548828125,2343.584716796875,2448.590087890625,2420.21875,2522.0,2282.0
420.0,2343.5908203125,2447.267578125,2420.218505859375,2342.638671875,2418.862548828125,2343.5908203125,2447.267578125,2420.218505859375,2522.0,2282.0
420.25,2343.595703125,2447.26708984375,2420.220458984375,2342.644287109375,2418.8642578125,2343.595703125,2447.26708984375,2420.220458984375,2522.0,2282.0
