Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
278.5,-10984.9326171875,3998.067626953125,-5993.8681640625,-9987.875,-1997.50390625,-6986.39697265625,-1000.19384765625,-9996.2900390625
278.75,-11003.5537109375,3998.083251953125,-6003.25390625,-10004.783203125,-2000.6336669921875,-7002.50732421875,-1000.1976928710938,-10002.4306640625
279.0,-11003.5517578125,3998.0830078125,-6003.2548828125,-10004.759765625,-2000.5860595703125,-7002.513671875,-1000.197509765625,-10002.4287109375
279.25,-11003.5517578125,3998.0830078125,-6003.25537109375,-10004.759765625,-2000.6275634765625,-7002.51708984375,-1000.1976318359375,-10002.4296875
279.5,-11003.55078125,3998.0830078125,-6003.2548828125,-10004.7587890625,-2000.617431640625,-7002.4658203125,-1000.19775390625,-9999.630859375
279.75,-10003.2373046875,-1000.7246704101562,-6003.2490234375,-6001.01025390625,-2000.6224365234375,-10003.5908203125,-1000.1891479492188,-10002.4169921875
280.0,-9999.9384765625,-1000.7266235351562,-6003.25146484375,-6001.00537109375,-2000.6129150390625,-10003.5517578125,-999.65576171875,-10002.4189453125
280.25,-9999.939453125,-1000.7266235351562,-6003.25146484375,-6001.00146484375,-2000.6307373046875,-10003.58203125,-999.65625,-10002.419921875
280.5,-10003.2275390625,-1000.7265625,-6003.25244140625,-6001.0087890625,-2000.6085205078125,-10003.5849609375,-1000.1976318359375,-10002.4267578125
280.75,-9986.296875,-1000.7227783203125,-5993.86181640625,-5990.87255859375,-1997.5042724609375,-9980.5966796875,-1000.1939086914062,-9996.296875
281.0,-10003.23046875,-1000.7266235351562,-6003.248046875,-6001.0146484375,-2000.6163330078125,-10003.525390625,-1000.1976318359375,-10002.4306640625
281.25,-10003.23046875,-1000.7266235351562,-6003.248046875,-6001.0146484375,-2000.635498046875,-10003.572265625,-1000.197509765625,-10002.4287109375
281.5,-10003.228515625,-1000.7266235351562,-6003.24951171875,-6001.00537109375,-1999.9903564453125,-10003.6416015625,-1000.1978149414062,-9999.630859375
281.75,26008.90234375,25957.548828125,11990.095703125,13986.4404296875,20001.908203125,32011.146484375,18000.017578125,24003.90625
