Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
404.0,56018.09375,67007.953125,39015.17578125,42026.3828125,59018.453125,92032.90625,38007.3125,55013.5625
404.25,55922.5859375,67007.6875,38954.20703125,41955.40625,58926.18359375,91821.453125,38007.40234375,54976.7109375
404.5,55922.58984375,67007.6875,38954.20703125,41955.40625,58925.89453125,91821.421875,38007.40234375,54976.71484375
404.75,56018.1015625,67007.953125,39015.1796875,42026.37890625,59018.65625,92032.71875,38007.453125,55013.5390625
405.0,59019.02734375,66027.6875,38020.3515625,41022.375,55017.0625,90032.3671875,39006.89453125,59014.3203125
405.25,59019.05078125,66027.6875,38020.35546875,41022.375,54999.796875,90032.296875,39007.6015625,59014.38671875
405.5,59006.671875,66027.6875,38020.36328125,41022.36328125,55017.16015625,90032.3671875,39007.54296875,58999.1875
405.75,58918.45703125,66027.4296875,37960.91015625,40953.12109375,54930.97265625,89825.296875,39007.2109375,58974.91796875
406.0,58918.43359375,66027.4296875,37960.92578125,40953.10546875,54931.46875,89825.03125,39007.58984375,58974.99609375
406.25,59019.0625,64032.17578125,39015.12890625,43013.8203125,54017.125,91032.140625,42008.2421875,57014.04296875
406.5,59019.02734375,64032.171875,39015.16015625,43013.7890625,54016.97265625,90996.2734375,42008.484375,57014.1015625
406.75,59019.046875,64032.171875,39015.14453125,43013.8046875,54004.734375,91033.1796875,42008.203125,57013.92578125
407.0,59019.01953125,64032.171875,39015.140625,43013.80859375,54017.09375,91032.140625,42008.77734375,57014.296875
407.25,59019.02734375,64032.171875,39015.140625,43013.84375,54016.57421875,91032.359375,42007.40234375,57013.83203125
407.5,59019.046875,64032.171875,39015.14453125,43013.8046875,54004.66015625,91031.7890625,42008.203125,57013.92578125
407.75,22002.484375,26082.0703125,15024.9150390625,16038.7998046875,24007.505859375,33011.75390625,17003.392578125,24005.900390625
408.0,22007.095703125,26082.06640625,15024.919921875,16038.7939453125,24007.57421875,33011.6796875,17003.345703125,24005.84765625
408.25,22007.1015625,26082.06640625,15024.91796875,16038.796875,24002.216796875,33011.90625,16994.310546875,24005.9375
408.5,22007.111328125,26082.068359375,15024.9130859375,16038.80078125,24007.564453125,33011.72265625,17003.328125,24005.8828125
408.75,22007.103515625,26082.064453125,15024.921875,16038.79296875,24007.5234375,33011.96484375,17003.369140625,23999.65625
409.0,24007.7734375,24012.142578125,16006.2109375,17006.77734375,19001.7265625,32011.46484375,20992.947265625,20004.95703125
409.25,23966.966796875,24012.04296875,15981.19140625,16978.056640625,18976.337890625,31937.77734375,21004.015625,19991.98828125
409.5,23966.966796875,24012.044921875,15981.19140625,16978.05859375,18976.232421875,31937.951171875,21004.015625,19991.98828125
409.75,23966.9765625,24012.044921875,15981.1845703125,16978.064453125,18976.169921875,31937.697265625,21004.0546875,19992.0078125
410.0,24007.748046875,24012.13671875,16006.2109375,17006.775390625,18999.787109375,32011.44140625,20992.9765625,20004.94921875
410.25,24999.849609375,27003.263671875,16007.44140625,16008.8193359375,17005.533203125,34012.15625,20003.986328125,16003.9267578125
410.5,25008.087890625,27003.27734375,16007.447265625,16008.8134765625,17001.43359375,34011.9140625,20003.794921875,16003.900390625
410.75,25002.837890625,27003.27734375,16007.44140625,16008.8193359375,17005.23828125,34012.0625,20003.9375,16003.92578125
411.0,25008.07421875,27003.27734375,16007.4453125,16008.81640625,16999.83203125,34012.03125,20003.9453125,16003.9189453125
411.25,25008.0859375,27003.27734375,16007.447265625,16008.814453125,17001.6015625,34011.9765625,20003.794921875,16003.900390625
411.5,25008.07421875,27003.27734375,16007.4453125,16008.8154296875,17005.45703125,34012.14453125,20003.9453125,16003.9189453125
411.75,26008.3828125,30003.578125,15008.11328125,15008.2333984375,15004.623046875,38998.08203125,19003.7421875,14003.4189453125
412.0,26008.390625,30003.578125,15008.111328125,15008.244140625,15004.6748046875,39013.8828125,19003.751953125,13999.5
412.25,26008.40625,30003.578125,15008.1064453125,15008.25,15000.009765625,39013.69140625,18993.52734375,14003.44140625
412.5,26008.359375,30003.580078125,15008.1044921875,15008.2412109375,15004.6689453125,39014.0,19003.763671875,14003.4248046875
412.75,26008.404296875,30003.580078125,15008.107421875,15008.2490234375,15000.03515625,39013.7890625,18993.638671875,14003.466796875
413.0,26008.396484375,30003.578125,15008.1083984375,15008.248046875,15004.7255859375,39013.8046875,19003.666015625,14003.4208984375
413.25,23007.3984375,33004.19140625,14007.654296875,19003.3359375,13003.927734375,42014.78125,18003.640625,9999.63671875
413.5,23007.421875,33004.1328125,14007.6552734375,19003.3359375,13004.0126953125,42015.01953125,18003.421875,10002.4345703125
413.75,23007.423828125,33004.1328125,14007.6572265625,19003.33203125,13003.9736328125,42015.1875,18003.560546875,9999.8525390625
414.0,23007.412109375,33004.1328125,14007.6591796875,19003.330078125,13004.154296875,42015.0703125,18003.5234375,9999.6318359375
414.25,23007.43359375,33004.13671875,14007.6494140625,19003.34375,13004.087890625,42015.02734375,18003.51953125,10002.451171875
414.5,23007.435546875,33004.13671875,14007.6484375,19003.34375,13004.103515625,42014.90234375,18003.59375,10002.458984375
414.75,21006.826171875,28020.486328125,15005.7880859375,22005.33203125,18005.59765625,37013.29296875,19003.857421875,8001.97314453125
415.0,21006.771484375,28020.3828125,15005.796875,22005.3203125,18005.671875,36998.3828125,19003.744140625,8001.95654296875
415.25,21006.77734375,28020.384765625,15005.7939453125,22005.328125,18005.75390625,37013.21875,19003.767578125,8001.95849609375
415.5,21006.783203125,28020.384765625,15005.7900390625,22005.330078125,18005.66796875,37013.20703125,19003.748046875,8001.95947265625
415.75,21006.802734375,28020.384765625,15005.787109375,22005.3359375,18005.48046875,37013.0390625,19003.708984375,8001.962890625
416.0,21009.404296875,28009.7890625,18004.310546875,20012.482421875,18001.515625,39013.578125,18996.03125,7002.44287109375
416.25,21002.375,28009.79296875,18004.2421875,20012.515625,18005.701171875,39013.78515625,19003.734375,7001.71533203125
416.5,20999.8828125,28009.79296875,18004.2421875,20012.513671875,18005.7890625,39013.8828125,19003.740234375,7001.71533203125
416.75,21006.7890625,28009.79296875,18004.24609375,20012.51171875,17999.8671875,39014.078125,18993.625,7001.7314453125
417.0,21006.775390625,28009.791015625,18004.24609375,20012.51171875,18001.736328125,39014.01953125,18993.623046875,7001.72900390625
417.25,21006.76953125,28009.791015625,18004.25,20012.505859375,18005.6328125,39013.68359375,19003.71875,6999.88671875
417.5,20006.4453125,26012.916015625,19007.310546875,19010.375,20001.970703125,37013.1875,21003.998046875,7001.69580078125
417.75,20006.46484375,26012.943359375,19007.294921875,19010.38671875,20006.34765625,37013.2265625,21004.189453125,7001.720703125
418.0,20006.478515625,26012.9453125,19007.294921875,19010.38671875,20006.111328125,37012.8125,21004.1015625,7001.71728515625
418.25,20006.4296875,26012.943359375,19007.298828125,19010.3828125,20006.43359375,37013.203125,21004.158203125,7001.71142578125
418.5,20006.466796875,26012.943359375,19007.30078125,19010.380859375,19999.826171875,37013.40625,20992.958984375,7001.73193359375
418.75,20006.451171875,26012.943359375,19007.30859375,19010.373046875,20006.30078125,36998.4296875,21004.14453125,7001.7119140625
419.0,26962.8203125,30001.16015625,16983.86328125,16981.90625,16978.623046875,36928.03125,12002.294921875,12994.8017578125
419.25,27008.728515625,30001.275390625,17010.455078125,17010.630859375,17005.1328125,37013.203125,12002.3447265625,13003.1865234375
419.5,27008.677734375,30001.2734375,17010.458984375,17010.625,17005.443359375,37013.25390625,12002.376953125,13003.1787109375
419.75,26999.806640625,30001.275390625,17010.458984375,17010.626953125,17005.47265625,37013.29296875,12002.373046875,13003.1826171875
420.0,27008.73046875,30001.2734375,17010.4609375,17010.625,16999.984375,37013.2578125,11995.96875,13003.21484375
420.25,27008.71484375,30001.2734375,17010.462890625,17010.623046875,17005.599609375,37013.07421875,12002.2900390625,13003.166015625
420.5,27008.716796875,30001.2734375,17010.462890625,17010.623046875,17005.171875,37013.1015625,12002.3798828125,13003.1826171875
420.75,27008.703125,30001.2734375,17010.466796875,17010.619140625,17005.251953125,37013.390625,12002.3486328125,12999.521484375
421.0,23007.423828125,33003.92578125,15001.3642578125,17008.052734375,17005.29296875,36012.640625,18003.560546875,12002.935546875
421.25,22968.3515625,33003.796875,14977.904296875,16979.345703125,16978.70703125,35930.16015625,18003.478515625,11995.201171875
421.5,23007.44921875,33003.92578125,15001.353515625,17008.064453125,17005.333984375,36012.9765625,18003.517578125,12002.9453125
421.75,22999.865234375,33003.92578125,15001.35546875,17008.0625,17005.431640625,36012.7109375,18003.548828125,12002.9443359375
422.0,22999.841796875,33003.92578125,15001.3564453125,17008.05859375,17005.26953125,36013.1875,18003.55859375,12002.9384765625
422.25,23007.42578125,33003.92578125,15001.359375,17008.060546875,16999.671875,36012.734375,18003.552734375,12002.9404296875
422.5,23007.419921875,33003.921875,15001.3603515625,17008.05859375,17001.6875,36012.72265625,18003.630859375,12002.9560546875
422.75,23007.421875,33003.921875,15001.3623046875,17008.044921875,17005.142578125,36012.9921875,18003.56640625,12002.935546875
423.0,31009.998046875,26022.681640625,13007.8740234375,18006.953125,22006.716796875,31011.087890625,16003.1630859375,17999.73046875
423.25,31009.99609375,26022.67578125,13007.8759765625,18006.94921875,22006.888671875,31010.984375,16003.1494140625,18004.3984375
423.5,30957.34375,26022.576171875,12987.5322265625,17976.556640625,21972.486328125,30939.90625,16003.087890625,17992.80859375
423.75,31010.03515625,26022.677734375,13007.8662109375,18006.962890625,22006.8125,31011.20703125,16003.15234375,18004.416015625
424.0,30999.818359375,26022.677734375,13007.8671875,18006.9609375,22006.912109375,31011.12109375,16003.154296875,18004.416015625
424.25,31009.990234375,26022.677734375,13007.869140625,18006.958984375,22007.0625,31011.123046875,16003.162109375,18004.40625
