Time,Time Varying Load 611.Single phase time-varying load1.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseA.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseB.P_measured,Time Varying Load 634.Single phase time-varying load with the Master PulseC.P_measured,Time Varying Load 645.Single phase time-varying load645.P_measured,Time Varying Load 646.Single phase time-varying load646.P_measured,Time Varying Load 652.Single phase time-varying load652.P_measured,Time Varying Load 692.Single phase time-varying loadC.P_measured
331.25,23007.3984375,21000.947265625,18009.74609375,13000.3251953125,15001.271484375,33782.0546875,12995.6328125,16003.9423828125
331.5,23007.443359375,21000.947265625,18009.748046875,13000.3251953125,15004.787109375,33785.0390625,13002.578125,16003.9228515625
331.75,23007.421875,21000.947265625,18009.75,13000.3232421875,15004.6669921875,33767.671875,13002.57421875,15999.763671875
332.0,23007.421875,21000.947265625,18009.751953125,13000.3125,15004.576171875,33788.98828125,13002.568359375,15999.421875
332.25,23007.421875,21000.947265625,18009.75390625,13000.3203125,15004.828125,33787.37109375,13002.5654296875,16003.912109375
332.5,1004.4756469726562,4006.11181640625,6007.9091796875,5005.15380859375,0.0,5761.72705078125,5091.25732421875,-6048.529296875
332.75,998.298828125,4006.3798828125,5998.6005859375,4996.72509765625,0.0,5749.8828125,5000.95947265625,-5997.67822265625
333.0,1000.3232421875,4006.3955078125,6007.99365234375,5005.173828125,0.0,5754.00732421875,5000.98828125,-6001.46630859375
333.25,1000.3230590820312,4006.395263671875,6007.99462890625,5005.1728515625,0.0,5751.771484375,5000.98828125,-6001.46533203125
333.5,1000.3230590820312,4006.395263671875,6007.99462890625,5005.17236328125,0.0,5753.35498046875,5000.98828125,-6001.46533203125
333.75,1000.3228759765625,4006.395263671875,6007.99560546875,5005.17431640625,0.0,5752.015625,5000.98828125,-6001.46435546875
334.0,1000.3228759765625,4006.395263671875,6007.99609375,5005.17431640625,0.0,5744.30078125,5000.9892578125,-6001.46484375
334.25,1000.3226318359375,4006.395263671875,6007.9970703125,5005.16748046875,0.0,5755.04443359375,5000.98388671875,-5999.9013671875
334.5,1000.3031005859375,2001.0006103515625,6002.7744140625,6002.37744140625,-2000.647705078125,5753.40380859375,8001.337890625,-7001.10302734375
334.75,1000.1109619140625,2000.9979248046875,6002.77685546875,6002.37451171875,-2000.62353515625,5756.41748046875,8001.580078125,-7001.70654296875
335.0,998.6273193359375,2000.9903564453125,5993.3876953125,5992.24365234375,-1997.49267578125,5748.10205078125,7997.2236328125,-6997.29052734375
335.25,1000.3231811523438,2000.9981689453125,6002.7724609375,6002.37841796875,-2000.6297607421875,5754.21826171875,8001.58056640625,-7001.71044921875
335.5,1000.3230590820312,2000.998046875,6002.77294921875,6002.3779296875,-1999.986083984375,5755.2880859375,8001.58154296875,-7001.7099609375
335.75,1000.322998046875,2000.998046875,6002.7734375,6002.37744140625,-2000.1705322265625,5749.5439453125,8001.5810546875,-7001.70947265625
336.0,1000.3228759765625,2000.998046875,6002.7744140625,6002.376953125,-2000.61376953125,5747.2646484375,8001.5810546875,-7001.70849609375
336.25,1000.3228149414062,2000.998046875,6002.77490234375,6002.3759765625,-2000.6263427734375,5750.75,8001.58251953125,-7001.708984375
336.5,1000.3239135742188,0.0,4002.431884765625,4002.46240234375,-0.0,5750.07958984375,8001.705078125,-3999.864990234375
336.75,1000.3225708007812,0.0,4002.43310546875,4002.467041015625,-0.0,5754.23095703125,8001.5810546875,-3999.854248046875
