Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
260.5,49024.1484375,10002.4365234375,52006.9609375,50891.74609375,68963.5234375,37992.86328125
260.75,48961.62890625,9987.63671875,51906.42578125,50980.359375,69013.328125,37947.31640625
261.0,49011.4140625,10003.1123046875,52018.57421875,51012.45703125,69013.5859375,38004.37890625
261.25,49011.421875,10003.1162109375,52018.5546875,51012.43359375,69013.640625,38012.28515625
261.5,49011.61328125,10003.109375,52018.55859375,51012.5625,68976.90625,38012.296875
261.75,49011.25390625,10003.1279296875,51997.90234375,51012.37890625,69013.09375,38012.328125
262.0,49011.44921875,10003.1201171875,52011.1484375,50999.15234375,69013.671875,38012.30078125
262.25,49011.44921875,9999.94140625,52018.57421875,50998.15625,69013.671875,38012.30078125
262.5,52011.99609375,10000.56640625,50017.44140625,51013.7734375,67012.4375,42013.2265625
262.75,52012.15234375,10003.1220703125,50017.8515625,51012.4140625,67013.2265625,42013.58203125
263.0,51959.3125,9987.6337890625,49910.02734375,50980.35546875,67012.9453125,41941.7734375
263.25,52012.0234375,10003.109375,50017.85546875,51012.46484375,67013.09375,42004.83203125
263.5,52012.12109375,10003.1162109375,50017.83984375,51012.43359375,67013.25,42013.56640625
263.75,52012.125,10003.1171875,50017.8515625,51012.4375,67013.2265625,42013.6015625
264.0,52012.32421875,10003.115234375,49997.97265625,51012.57421875,66977.5703125,42013.61328125
264.25,52011.9453125,10003.12890625,49997.9765625,51012.37890625,67012.7265625,42013.625
264.5,53012.3203125,9000.1572265625,49018.1015625,51998.04296875,69013.7109375,38013.734375
264.75,53012.38671875,9000.810546875,49017.49609375,52012.66015625,69013.6171875,38012.29296875
265.0,53012.04296875,9002.810546875,49017.49609375,52012.65625,69013.6171875,38012.2890625
265.25,52958.51953125,8988.8720703125,48911.828125,51979.96484375,69013.3359375,37947.328125
265.5,53012.24609375,9002.798828125,49017.484375,52012.69140625,69013.5078125,38012.31640625
265.75,53012.3515625,9002.8046875,49017.484375,52012.67578125,69013.640625,38012.28515625
266.0,53012.359375,9002.8056640625,49017.49609375,52012.6796875,69013.6171875,38012.3046875
266.25,53012.55859375,9002.8037109375,48998.01171875,52012.81640625,68976.8984375,38012.31640625
266.5,53022.81640625,11001.23828125,49009.12890625,53022.6640625,64044.26171875,38016.5859375
266.75,53012.3515625,10999.939453125,49017.5,53012.890625,64012.57421875,38012.28515625
267.0,53012.37890625,11003.431640625,49017.4921875,53012.8984375,64012.6328125,38012.29296875
267.25,53012.37890625,11003.4345703125,49017.49609375,53012.89453125,64012.62890625,38012.2890625
267.5,53012.0390625,11003.435546875,49017.49609375,53012.89453125,64012.625,38012.28515625
267.75,53012.25390625,11003.419921875,49017.49609375,53012.9453125,64012.51171875,38004.375
268.0,53012.3515625,11003.427734375,49017.484375,53012.91796875,64012.65234375,38012.28515625
268.25,53012.359375,11003.4287109375,49017.49609375,53012.92578125,64012.6328125,38012.30859375
268.5,106973.359375,24001.681640625,97002.2890625,110709.890625,129861.1875,69990.546875
268.75,107024.9921875,24007.46484375,97034.5859375,111027.0546875,130025.578125,70022.59375
269.0,107025.0625,24007.48046875,97034.625,111027.1484375,130025.625,70022.640625
269.25,107025.0859375,24007.48046875,97034.625,110996.0078125,130025.6640625,70022.6484375
269.5,107025.7578125,24007.43359375,97020.703125,111027.4140625,129957.09375,70022.53125
269.75,106971.65625,23965.0546875,96825.40625,110955.15625,130022.6328125,69902.7265625
270.0,107024.9453125,24002.12890625,97034.609375,111026.9921875,130025.4453125,70022.6875
270.25,107025.0,24007.46875,97034.625,111027.2109375,130025.625,70022.6796875
270.5,104027.703125,23007.275390625,95036.28125,109052.09375,126037.75,65011.83203125
270.75,103969.21875,23007.197265625,95033.9296875,109026.734375,126025.3828125,65020.94921875
271.0,104024.3203125,23007.154296875,95033.875,109026.5703125,126024.8125,65020.984375
271.25,104024.4375,23007.16796875,95033.9296875,108998.5546875,126025.15625,65021.06640625
271.5,104024.28125,23007.171875,95033.90625,109026.5078125,126024.546875,65020.99609375
271.75,103973.2578125,22964.353515625,94829.078125,108956.1796875,126023.859375,64909.6484375
272.0,104023.6796875,22999.8828125,95020.375,109026.234375,126022.890625,65020.9765625
