Time,Time Varying Load 671.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadB.P_measured,Time Varying Load 671.Single phase time-varying loadA1.P_measured,Time Varying Load 671.Single phase time-varying loadA2.P_measured,Time Varying Load 675.Single phase time-varying loadA.P_measured,Time Varying Load 675.Single phase time-varying loadC.P_measured
164.75,144033.78125,27002.419921875,85030.328125,150036.71875,137026.96875,96031.0546875
165.0,143962.609375,26966.62109375,84834.9453125,149939.0,137025.984375,95866.375
165.25,143958.890625,27008.408203125,85030.4140625,149999.3125,136956.625,96031.15625
165.5,17003.787109375,-8002.490234375,-21007.1015625,28007.537109375,13003.0498046875,4001.24560546875
165.75,17003.84765625,-8002.49755859375,-21007.5,28006.8125,13002.5693359375,4001.294921875
166.0,17003.947265625,-8000.720703125,-21007.5,28006.802734375,13002.5625,4001.294189453125
166.25,17003.958984375,-8002.49951171875,-21007.5,28006.802734375,13002.5693359375,4001.2939453125
166.5,17003.958984375,-8002.5,-21007.5,28006.798828125,13002.5693359375,4000.4501953125
166.75,17003.96484375,-8002.50048828125,-21007.5,27999.515625,13002.5771484375,3999.976806640625
167.0,17003.955078125,-8002.5,-20999.107421875,28006.765625,13002.5517578125,4001.291015625
167.25,17003.951171875,-8002.49609375,-21007.5,28006.8203125,13002.5693359375,4001.296142578125
167.5,27006.28125,-9002.8056640625,-34012.09375,32007.783203125,11002.1708984375,-1000.3236083984375
167.75,27006.263671875,-9002.810546875,-34012.14453125,32007.78125,11002.1640625,-1000.3239135742188
168.0,26991.88671875,-8999.94921875,-34012.14453125,32007.7890625,11002.1845703125,-1000.32373046875
168.25,27006.265625,-9002.8115234375,-34012.140625,32007.77734375,11002.1650390625,-1000.323486328125
168.5,27006.28515625,-9002.8134765625,-34012.14453125,32007.7734375,11002.1728515625,-1000.323486328125
168.75,27006.287109375,-9002.8134765625,-34012.140625,32007.771484375,11002.1748046875,-1000.1124267578125
169.0,27006.296875,-9002.814453125,-34012.14453125,31999.451171875,11002.181640625,-999.9940185546875
169.25,27006.287109375,-9002.8173828125,-34012.1484375,32007.75390625,11002.1630859375,-1000.3231811523438
169.5,20994.833984375,-6991.31103515625,-30939.876953125,25990.29296875,-3000.581298828125,9986.189453125
169.75,21004.884765625,-7002.18408203125,-31011.0703125,26006.33203125,-2998.97412109375,10003.240234375
170.0,21004.87890625,-7002.18505859375,-31011.0703125,26006.32421875,-3000.593017578125,10003.2392578125
170.25,21004.751953125,-7000.6318359375,-31011.072265625,26006.3203125,-3000.593017578125,10003.2373046875
170.5,20993.6875,-7002.18896484375,-31011.07421875,26006.322265625,-3000.59521484375,10003.236328125
170.75,21004.88671875,-7002.1875,-31011.0703125,26006.3125,-3000.5927734375,10003.2353515625
171.0,21004.890625,-7002.1884765625,-31011.072265625,25999.033203125,-3000.59326171875,10003.234375
171.25,21004.88671875,-7002.189453125,-31011.0703125,26006.30078125,-3000.590576171875,9999.9365234375
171.5,18004.201171875,-1000.3128051757812,-28006.05859375,13003.158203125,-7001.38720703125,14004.529296875
171.75,18004.193359375,-1000.3119506835938,-28010.001953125,13003.171875,-7001.39404296875,14004.5390625
172.0,18004.173828125,-1000.3121337890625,-28010.0,13003.1611328125,-7001.3779296875,14004.53515625
172.25,18004.185546875,-1000.3121948242188,-28010.0,13003.1630859375,-7001.3837890625,14004.5341796875
172.5,18004.185546875,-1000.090087890625,-28010.0,13003.16015625,-7001.38330078125,14004.5322265625
172.75,17994.5859375,-1000.3126831054688,-28010.001953125,13003.1611328125,-7001.3876953125,14004.53125
173.0,18004.19140625,-1000.3125,-28010.0,12999.7744140625,-7001.384765625,14004.529296875
173.25,18004.19140625,-1000.3126220703125,-28010.0,12999.5166015625,-7001.3837890625,14004.5283203125
173.5,16003.724609375,1000.3123779296875,-29010.361328125,18004.365234375,-3000.58935546875,0.0
173.75,16003.7353515625,1000.3128662109375,-29006.28125,18004.373046875,-3000.595458984375,0.0
174.0,16003.712890625,1000.3120727539062,-29010.361328125,18004.380859375,-3000.591552734375,0.0
174.25,16003.71875,1000.31201171875,-29010.357421875,18004.380859375,-3000.59326171875,0.0
174.5,16003.7197265625,1000.3121337890625,-29010.357421875,18004.376953125,-3000.59326171875,0.0
174.75,16003.62109375,999.994140625,-29010.357421875,18004.375,-3000.593017578125,0.0
175.0,15995.1923828125,1000.090576171875,-29010.359375,18004.376953125,-3000.5947265625,0.0
175.25,16003.7265625,1000.3123779296875,-29010.357421875,17999.6875,-3000.593994140625,0.0
175.5,5001.16455078125,-5001.5595703125,-9003.2080078125,5999.77490234375,3000.593505859375,1999.9884033203125
175.75,5001.166015625,-5001.56298828125,-8999.6201171875,6001.4560546875,3000.593505859375,2000.6463623046875
176.0,5001.16552734375,-5001.56298828125,-8999.619140625,6001.455078125,3000.5927734375,2000.646240234375
176.25,5001.1591796875,-5001.5595703125,-9003.2138671875,6001.45947265625,2998.96875,2000.6480712890625
176.5,5001.162109375,-5001.56005859375,-9003.2138671875,6001.45849609375,3000.5927734375,2000.6478271484375
176.75,5001.1630859375,-5001.56005859375,-9003.2138671875,6001.458984375,3000.593017578125,2000.6475830078125
177.0,5001.130859375,-5001.560546875,-9003.2138671875,6001.4580078125,3000.5927734375,2000.6473388671875
177.25,4998.494140625,-4999.97119140625,-9003.2138671875,6001.4580078125,3000.59326171875,2000.647216796875
177.5,6001.3974609375,-6001.8740234375,-5001.7861328125,2999.947509765625,-1000.1976928710938,3000.970703125
177.75,6001.39697265625,-6001.87451171875,-5001.78515625,3000.7275390625,-1000.1973876953125,2999.982177734375
178.0,6001.39892578125,-6001.87548828125,-5001.7861328125,3000.728515625,-1000.19775390625,3000.970703125
178.25,6001.3984375,-6001.87548828125,-4999.78857421875,3000.7275390625,-1000.1975708007812,3000.969482421875
178.5,6001.3984375,-6001.8701171875,-5001.78515625,3000.731689453125,-999.6590576171875,3000.971923828125
178.75,6001.39404296875,-6001.8720703125,-5001.78515625,3000.729248046875,-1000.1975708007812,3000.9716796875
179.0,6001.39501953125,-6001.8720703125,-5001.78515625,3000.7294921875,-1000.1976318359375,3000.971435546875
179.25,6001.3583984375,-5999.96435546875,-5001.78515625,3000.72900390625,-1000.1976318359375,3000.970947265625
179.5,-1000.2328491210938,-10000.90234375,8002.85888671875,-2999.94775390625,3000.593017578125,4001.293701171875
179.75,-1000.2329711914062,-10003.1259765625,8002.85693359375,-3000.728271484375,3000.593017578125,4000.449951171875
180.0,-1000.2330322265625,-10003.1259765625,8002.85693359375,-3000.727783203125,3000.5927734375,4001.2939453125
